year, pindex
1951, 0.896907
1952, 0.917526
1953, 0.924399
1954, 0.927835
1955, 0.924399
1956, 0.938144
1957, 0.972509
1958, 1
1959, 1.006873
1960, 1.024055
1961, 1.034364
1962, 1.044674
1963, 1.058419
1964, 1.072165
1965, 1.089347
1966, 1.120275
1967, 1.154639
1968, 1.202749
1969, 1.268041
1970, 1.340206
1971, 1.397849
1972, 1.446229
1973, 1.535782
1974, 1.703565
1975, 1.858996
1976, 1.965018
1977, 2.091627
1978, 2.253235
1979, 2.5116
1980, 2.848195
1981, 3.1395
1982, 3.328899
1983, 3.428746
1984, 3.549179
1985, 3.6727
1986, 3.730343
1987, 3.865188
1988, 4.019589
1989, 4.212077
1990, 4.431327
1991, 4.613521
1992, 4.747336
1993, 4.88115
1994, 5.001584
1995, 5.145692
1996, 5.293917
1997, 5.414351
1998, 5.486405
1999, 5.606838
2000, 5.802413
2001, 5.959903
2002, 6.042251
2003, 6.177095
2004, 6.337672
2005, 6.56104
2006, 6.771026
2007, 6.965572
2008, 7.250701
2009, 7.201292
2010, 7.350547
2011, 7.612001
2012, 7.771549
2013, 7.877571
2014, 7.995946
2015, 7.963007
2016, 8.041237
2017, 8.212108
2018, 8.421065
2019, 8.561056
2020, 8.66502
2021, 9.121019
2022, 9.897145
2023, 10.293442
2024, 10.553866
2025, 10.807085
2026, 11.06648
2027, 11.332051
2028, 11.603797
2029, 11.88275
2030, 12.167878
2031, 12.459183
2032, 12.758722
2033, 13.064437
2034, 13.378387
2035, 13.699542
2036, 14.027903
2037, 14.364499
2038, 14.709329
2039, 15.062394
2040, 15.424723
2041, 15.794258
2042, 16.173057
2043, 16.562149
2044, 16.959476
2045, 17.366066
2046, 17.782951
2047, 18.210129
2048, 18.646571
2049, 19.094335
2050, 19.552394
2051, 20.021775
2052, 20.502478
2053, 20.994505
2054, 21.497854
2055, 22.014585
2056, 22.542639
2057, 23.084074
2058, 23.637861
2059, 24.20503
2060, 24.78558
2061, 25.380541
2062, 25.989912
2063, 26.613695
2064, 27.251888
2065, 27.906551
2066, 28.576654
2067, 29.262198
2068, 29.96421
2069, 30.683722
2070, 31.419703
2071, 32.174213
2072, 32.946221
2073, 33.736757
2074, 34.546851
2075, 35.375473
2076, 36.224682
2077, 37.094478
2078, 37.983831
2079, 38.89583
2080, 39.829446
2081, 40.785706
2082, 41.764613
2083, 42.766165
2084, 43.792421
2085, 44.843381
2086, 45.920075
2087, 47.022503
2088, 48.150664
2089, 49.306618
2090, 50.489334
2091, 51.701902
2092, 52.942262
2093, 54.212472
2094, 55.513564
2095, 56.846564
2096, 58.210445
2097, 59.607266
2098, 61.038054
2099, 62.502811
2100, 64.003595
