age,with_parents,race
13,0.9802307251338582,All
14,0.9504051103080529,All
15,0.926834396785106,All
16,0.9124980762871187,All
17,0.8798477014878054,All
18,0.7725327999319003,All
19,0.639844466256985,All
20,0.5272683531023834,All
21,0.43736108251851497,All
22,0.36404384194771516,All
23,0.29661267860540763,All
24,0.23969140111661538,All
25,0.21301804518947265,All
26,0.1888822616033841,All
27,0.17292808085506645,All
28,0.15243537327083972,All
29,0.14093140360772913,All
30,0.1299380670307269,All
31,0.11136928286185747,All
32,0.11539279608021566,All
33,0.10007902557940332,All
34,0.09470240312074332,All
35,0.08999027647685955,All
36,0.08780818165088686,All
37,0.0755002403592301,All
38,0.07896910381561809,All
39,0.06896241518727969,All
13,0.9259268452992817,Black
13,0.9869267849201346,Other
13,0.990621977998911,White
14,0.8877232829949038,Black
14,0.948666397392348,Other
14,0.9643447296904623,White
15,0.8639639873701347,Black
15,0.9367765406183334,Other
15,0.9389695010812409,White
16,0.8652401736850914,Black
16,0.9069938007792272,Other
16,0.9236421236985334,White
17,0.8371479239354681,Black
17,0.8686368219911627,Other
17,0.8908603806010608,White
18,0.737217175821439,Black
18,0.7643376672069258,Other
18,0.7814741491759477,White
19,0.6324442269908632,Black
19,0.665513562735542,Other
19,0.6374745501595066,White
20,0.5393887869011178,Black
20,0.5779024764988886,Other
20,0.5167896683852408,White
21,0.4577344009228205,Black
21,0.49667452385486505,Other
21,0.4237447810308939,White
22,0.39933492876251825,Black
22,0.4333232136294337,Other
22,0.3456427694003008,White
23,0.33394948868650715,Black
23,0.36511340911773654,Other
23,0.2778878708504616,White
24,0.3035679681175444,Black
24,0.31144874585702553,Other
24,0.2146968268446573,White
25,0.29051168464821725,Black
25,0.28202203402308085,Other
25,0.1854921100703438,White
26,0.25193396223532333,Black
26,0.25461414231414464,Other
26,0.1650005212143892,White
27,0.23311307023925254,Black
27,0.23937042089655414,Other
27,0.14955898125194875,White
28,0.21106706404530318,Black
28,0.21156070254038453,Other
28,0.1303135279789685,White
29,0.201724823073505,Black
29,0.19594273399075052,Other
29,0.11947714775218446,White
30,0.180333645677941,Black
30,0.17836619363055867,Other
30,0.11094698867329539,White
31,0.16966170080499057,Black
31,0.17201683250268796,Other
31,0.089886451249991825,White
32,0.15248827008373478,Black
32,0.1315581752073112,Other
32,0.1044416831476412,White
33,0.15054405328547563,Black
33,0.15079862726104343,Other
33,0.08174785597505477,White
34,0.14616634002714562,Black
34,0.11609743630814326,Other
34,0.07967798188526412,White
35,0.13614422708117205,Black
35,0.13057710578891957,Other
35,0.07409293973150845,White
36,0.1404911500945195,Black
36,0.1142983897100042,Other
36,0.07167870844755211,White
37,0.11073090585976605,Black
37,0.1342182458778407,Other
37,0.0591026912370272,White
38,0.13243039981493568,Black
38,0.12199556520409745,Other
38,0.060200302942711,White
39,0.11649460932836812,Black
39,0.0821919920734211,Other
39,0.05664523681022082,White
